auckland_2010-2011_0.125m-rgb,01GYXGR3P7NFVEF1FP2K8BYW5M
auckland_2010-2012_0.5m-rgb,01GSEBA9ZMHSY9PS1KY2QP15BH
auckland_2010_0.075m-rgb,01GYXGR139GCNQPB4MQR9AZY79
auckland_2012_0.075m-rgb,01GYXGR27PQ47N31CRHJXCWJWR
auckland_2015-2016_0.075m-rgb,01GYDR7DQB7WDP86QE7T0WRV6F
auckland_2017_0.075m-rgb,01GY9F9JTJ45F1D1TQK4GQ4M1F
auckland_2020_0.075m-rgb,01GSXHW9EQMNT1JADZV4M5GNSY
auckland_2022_0.075m-rgb,01GSXJMK7G7Q6FWGZ6VK0Z0N9F
auckland_sn5600_1979_0.375m-2193,01H51JN3MTCZ9T3SKSTN2FHTJP
auckland_sn9211_1992_0.4m-2193,01H51YZT6H3H3TS9S8CQ701E3J
auckland_snc50347_2003-2004_0.75m-2193,01H52718VNYXJ1Y8N437NXMQDA
auckland_waikato_sn8772_1987-1988_0.375m-2193,01H51X6EYNSFAQT0NR1HT92GTN
bay-of-plenty_2010-2011_0.125m-rgb,01GYXCC7A4TS3KBW78MGABGG2C
bay-of-plenty_2010-2012_0.4m-rgb,01GYXCC765M97VN4RQN1N9NCKE
bay-of-plenty_2011-2012_0.25m-rgb,01GSEBA9ZMQ3D29TH8F2B2N1EQ
bay-of-plenty_2014-2015_0.125m-rgb,01GXPNWTSZY34P00F7SXQXS8HT
bay-of-plenty_2015-2016_0.125m-rgb,01GXSGCE4Y5ZJZKHPMS7DJHCA1
bay-of-plenty_2015-2016_0.1m-rgb,01GXPNWTSSMMTCZDZN8FXR9W2W
bay-of-plenty_2015-2017_0.25m-rgb,01GXS8H5GQXTS0NNC766AW3TE8
bay-of-plenty_2016-2017_0.3m-rgb,01GYBMMTTBF8H2FTXTPQBEXB3N
bay-of-plenty_2018-2019_0.1m-rgb,01GYC6EZJB6CJVZKFXHBHEWD2V
bay-of-plenty_2019_0.3m-rgb,01GYC1AAK825XEKQDY6ZD6SFG4
bay-of-plenty_2020_0.1m-rgb,01GSVM1JVWNCRKDWSYKRJNEAJA
bay-of-plenty_2021-2022_0.2m-rgb,01GHD4BHWJ4PJAS2T7M5G45JQT
bay-of-plenty_2021_0.2m-rgb,01GSVGECT6Y33QSPMES1EHQPVJ
bay-of-plenty_2023_0.1m-rgb,01H79K9YCF4797XDEFFEQYEDPX
bay-of-plenty_gisborne_sn5975_1981_0.375m-2193,01H51MGNQNHSRR8SB688WJG1E3
bay-of-plenty_gisborne_sn8564_1985_0.375m-2193,01H51V09ERJC33FJBS5N6CJF89
bay-of-plenty_hawkes-bay_sn8419_1984_0.75m-2193,01H51RRCMVZC8TS7YNB3J39SR4
bay-of-plenty_sn8240_1983_0.75m-2193,01H51PQFMHV0YNK2VYN4QKEM86
bay-of-plenty_sn8540_1985-1986_0.375m-2193,01H51TMSXTV04WAGBTYG6G1EJF
bay-of-plenty_sn8626_1986_0.4m-2193,01H51VXM1HN3QY81WMVXVYMFRX
bay-of-plenty_sn8732_1987_0.15m-2193,01H51WRGZVN927SD3AZXW0FSMX
bay-of-plenty_sn9383_1994_0.75m-2193,01H51ZN1GES4Z1F4RHTW2WE6MJ
bay-of-plenty_snc25059_2001_0.75m-2193,01H524VA2NZPWH1KBRW20H98NC
bay-of-plenty_snc30006a_2002_0.75m-2193,01H5268JV5DS6CS79TQMM6HY3D
bay-of-plenty_snc50515_2003_0.625m-2193,01H527QX1VCC5R1THCB42TCPPJ
bay-of-plenty_waikato_snc25058_2001_0.75m-2193,01H524T90A844QZWEH2DCHX7J8
tauranga-city_2022_0.1m-rgb,01GSXQT9RWV5MBN3JRWTP1TVMS
tauranga_2017_0.1m-rgb,01GYC1AAHFTK6EN0DC1FZWWTRF
tauranga_winter_2022_0.1m-rgb,01GK2DPV3T9PC8C9QG7FH1GQDQ
ashburton_2020_0.075m-rgb,01GSX8XMXSJC7SBN1DJPMCP69Q
